location,text_overall,text_amenities_score,text_cleanliness_score,text_crowd_score,text_food_score,text_location_score,text_safety_score,text_service_score,text_transport_score,text_value_score,text_view_score,sarcasm_rate,sarcasm_count,total_aspects,img_pc1,img_pc2,img_pc3,img_pc4,img_pc5,img_pc6,img_pc7,img_pc8,img_pc9,img_pc10,pred_text_overall,pred_image_overall,pred_fused_overall,text_image_gap,abs_gap,visual_text_mismatch
Bentota Beach,-0.10762331838565023,-0.0871559633027523,-0.10638297872340426,-0.18478260869565216,-0.09876543209876543,-0.10328638497652583,-0.3333333333333333,0.03333333333333333,-0.14285714285714285,0.0,-0.10256410256410256,0.5347533632286996,477,892,-32.574406,-6.7882447,-7.452847,-2.4979453,6.2030787,2.857082,-7.419327,-7.273521,6.1684337,-0.25813437,-0.10528500413501451,-0.02786640077829361,-0.11529356968473001,-0.0774186033567209,0.0774186033567209,False
Dambulla Cave Temple,-0.1426872770511296,-0.04975124378109453,-0.058823529411764705,-0.21311475409836064,-0.23076923076923078,-0.05660377358490566,-0.2727272727272727,-0.24,-0.08974358974358974,-0.192090395480226,-0.17857142857142858,0.5659928656361475,476,841,25.271067,-2.3058014,5.816557,-15.681733,0.42025334,5.101483,-0.8612762,-2.680786,17.95236,-12.814243,-0.1454517223380716,-0.22973088920116425,-0.22277638031775196,0.08427916686309264,0.08427916686309264,False
Diyaluma Falls,-0.2318840579710145,-0.22580645161290322,0.5,-0.11538461538461539,-0.14814814814814814,-0.24,-0.8,-0.5384615384615384,0.0,-0.3142857142857143,-0.32653061224489793,0.6231884057971014,172,276,-7.099214,22.921818,35.181675,-8.250387,-6.1012187,-3.5111535,-3.0167773,-0.28344315,0.64948356,7.8556886,-0.1077914461445583,-0.2074398696422577,-0.018566302663747647,0.0996484234976994,0.0996484234976994,False
Galle Fort,0.07212713936430318,0.13559322033898305,-0.1,-0.03125,0.16666666666666666,-0.0379746835443038,0.0,0.0,-0.09803921568627451,-0.009345794392523364,0.15384615384615385,0.4315403422982885,353,818,10.224756,-8.186842,9.307804,-0.6699306,26.22558,15.337958,-20.728437,0.60317,-7.380659,-3.1045294,-0.00015613833329072846,-0.004698224365711212,0.11717581984875429,0.004542086032420484,0.004542086032420484,False
Hikkaduwa Beach,-0.09727164887307237,-0.035,-0.09615384615384616,-0.20833333333333334,-0.07766990291262135,-0.041666666666666664,0.13333333333333333,-0.029411764705882353,-0.47058823529411764,-0.2631578947368421,-0.13333333333333333,0.534994068801898,451,843,-22.162416,-6.012822,-12.011478,-10.968188,-2.1171308,-3.9230647,2.1485667,10.512462,-1.3897135,2.2968373,-0.12238773218324901,-0.13906922936439514,-0.12228958270222488,0.01668149718114613,0.01668149718114613,False
Horton Plains National Park,-0.2889908256880734,-0.3253968253968254,-0.14285714285714285,-0.41935483870967744,-0.2857142857142857,-0.2,-0.3,0.13636363636363635,-0.22033898305084745,-0.375,-0.27450980392156865,0.7064220183486238,462,654,0.3363039,10.151326,20.053267,10.314849,-2.4599266,11.490625,-6.024399,-1.3565838,5.115064,3.7136688,-0.2176358992431894,-0.14053383469581604,-0.236018691717437,-0.07710206454737337,0.07710206454737337,False
Jaya Sri Maha Bodhi,0.03470031545741325,0.06701030927835051,0.2,0.017241379310344827,0.0,0.05555555555555555,-0.058823529411764705,0.0,-0.10526315789473684,0.08080808080808081,-0.027777777777777776,0.39589905362776023,251,634,19.89574,-26.405594,-12.274862,-4.007171,-11.390512,-3.863331,6.018103,-23.104897,-9.769017,-4.032086,-0.0021993171227419894,0.09161056578159332,0.10525010889314398,-0.09380988290433531,0.09380988290433531,False
Jungle Beach,-0.2619392185238784,-0.23595505617977527,-0.13157894736842105,-0.325,-0.3559322033898305,-0.23076923076923078,0.4,-0.3076923076923077,-0.3142857142857143,-0.2916666666666667,-0.3770491803278688,0.597684515195369,413,691,-34.933334,-0.9900064,-0.40343896,-4.797555,-0.9275726,-12.372879,7.3331227,-1.4631555,-3.610975,2.5642197,-0.21140960498599237,-0.07204858213663101,-0.10167667986665034,-0.13936102284936136,0.13936102284936136,False
Minneriya National Park,-0.2485207100591716,-0.3333333333333333,-0.06666666666666667,-0.19696969696969696,-0.3246753246753247,-0.22758620689655173,0.125,-0.17647058823529413,-0.27835051546391754,-0.03389830508474576,-0.3466666666666667,0.6627218934911243,448,676,8.2827425,17.000786,-19.000826,21.455576,-10.884042,26.00055,3.9005344,3.2480943,-10.335771,8.296736,-0.1936843208247026,-0.2800477147102356,-0.310195873642632,0.08636339388553299,0.08636339388553299,False
Mirissa Beach,-0.0011148272017837235,0.07547169811320754,0.11320754716981132,-0.24358974358974358,-0.02054794520547945,0.06435643564356436,-0.2727272727272727,-0.2727272727272727,-0.15625,-0.0625,0.07317073170731707,0.5027870680044593,451,897,-17.55761,-1.2692868,-7.6221256,-9.24246,-5.9309726,-4.768545,-0.10336022,13.19697,-1.844248,0.9065286,-0.07015559356627626,-0.18470847606658936,-0.13338501650861706,0.11455288250031309,0.11455288250031309,False
