location,aspect,avg_polarity,avg_confidence
Bentota Beach,amenities,0.331,0.338
Bentota Beach,cleanliness,0.374,0.374
Bentota Beach,crowd,0.256,0.269
Bentota Beach,food,0.394,0.407
Bentota Beach,location,0.334,0.342
Bentota Beach,safety,0.249,0.285
Bentota Beach,service,0.229,0.261
Bentota Beach,transport,0.108,0.17
Bentota Beach,value,0.199,0.216
Bentota Beach,view,0.481,0.485
Dambulla Cave Temple,amenities,0.255,0.286
Dambulla Cave Temple,cleanliness,0.272,0.324
Dambulla Cave Temple,crowd,0.183,0.243
Dambulla Cave Temple,food,0.348,0.397
Dambulla Cave Temple,location,0.224,0.261
Dambulla Cave Temple,safety,0.222,0.222
Dambulla Cave Temple,service,0.083,0.284
Dambulla Cave Temple,transport,0.217,0.258
Dambulla Cave Temple,value,0.224,0.262
Dambulla Cave Temple,view,0.522,0.534
Diyaluma Falls,amenities,0.268,0.289
Diyaluma Falls,cleanliness,-0.28,0.32
Diyaluma Falls,crowd,0.104,0.187
Diyaluma Falls,food,0.369,0.384
Diyaluma Falls,location,0.227,0.291
Diyaluma Falls,safety,0.302,0.302
Diyaluma Falls,service,0.167,0.232
Diyaluma Falls,transport,0.182,0.221
Diyaluma Falls,value,0.261,0.269
Diyaluma Falls,view,0.499,0.499
Galle Fort,amenities,0.293,0.319
Galle Fort,cleanliness,0.333,0.348
Galle Fort,crowd,0.184,0.213
Galle Fort,food,0.339,0.357
Galle Fort,location,0.222,0.267
Galle Fort,safety,0.26,0.282
Galle Fort,service,0.246,0.249
Galle Fort,transport,0.223,0.242
Galle Fort,value,0.201,0.252
Galle Fort,view,0.483,0.487
Hikkaduwa Beach,amenities,0.289,0.328
Hikkaduwa Beach,cleanliness,0.276,0.349
Hikkaduwa Beach,crowd,0.157,0.218
Hikkaduwa Beach,food,0.333,0.352
Hikkaduwa Beach,location,0.295,0.329
Hikkaduwa Beach,safety,0.187,0.307
Hikkaduwa Beach,service,0.231,0.3
Hikkaduwa Beach,transport,0.107,0.164
Hikkaduwa Beach,value,0.154,0.223
Hikkaduwa Beach,view,0.444,0.456
Horton Plains National Park,amenities,0.234,0.251
Horton Plains National Park,cleanliness,0.321,0.33
Horton Plains National Park,crowd,0.11,0.191
Horton Plains National Park,food,0.328,0.346
Horton Plains National Park,location,0.192,0.216
Horton Plains National Park,safety,0.146,0.226
Horton Plains National Park,service,0.145,0.259
Horton Plains National Park,transport,0.191,0.252
Horton Plains National Park,value,0.18,0.244
Horton Plains National Park,view,0.388,0.411
Jaya Sri Maha Bodhi,amenities,0.259,0.271
Jaya Sri Maha Bodhi,cleanliness,0.158,0.255
Jaya Sri Maha Bodhi,crowd,0.255,0.28
Jaya Sri Maha Bodhi,food,0.263,0.289
Jaya Sri Maha Bodhi,location,0.098,0.162
Jaya Sri Maha Bodhi,safety,0.128,0.13
Jaya Sri Maha Bodhi,service,0.244,0.304
Jaya Sri Maha Bodhi,transport,0.158,0.208
Jaya Sri Maha Bodhi,value,0.188,0.21
